# Pipelines ranked by metrics ([<Metric.F1_MACRO: 'f1Macro'>])
d75f262b-35ab-4af8-a294-e4f11b53bcdd ( [Label Encoder, Imputer, LinearDiscriminantAnalysis] ) : ['F1_MACRO = 0.6630']
a36a69ce-9fdf-420e-adfa-91b3a4c3253f ( [Label Encoder, Imputer, AdaBoostClassifier] ) : ['F1_MACRO = 0.6500']
d4fe8649-5a03-4a5f-a367-3b3b6d4fa3d9 ( [Label Encoder, Imputer, RandomForestClassifier] ) : ['F1_MACRO = 0.6433']
bedf6549-cf3c-4c3a-8d17-cb5b4a514b05 ( [Label Encoder, Imputer, GradientBoostingClassifier] ) : ['F1_MACRO = 0.6415']
39359b64-1503-45fa-b970-c2345c1b4a4d ( [Label Encoder, Imputer, BaggingClassifier] ) : ['F1_MACRO = 0.6313']
ede2a566-90ff-469e-991d-78b8981d7ff9 ( [Label Encoder, Imputer, KNeighborsClassifier] ) : ['F1_MACRO = 0.5920']
ef54c129-374d-4f9c-b8e0-c47bcd6264b5 ( [Label Encoder, Imputer, ExtraTreeClassifier] ) : ['F1_MACRO = 0.5911']
ff509647-7f00-40d4-8f37-d87383a8b3b6 ( [Label Encoder, Imputer, LogisticRegression] ) : ['F1_MACRO = 0.5748']
2186b6c7-75c6-419c-82e7-48910530b8e1 ( [Label Encoder, Imputer, LinearSVC] ) : ['F1_MACRO = 0.4594']
9c4ae560-6043-452c-b0ba-1b9dee83dbd3 ( [Label Encoder, Imputer, MultinomialNB] ) : ['F1_MACRO = 0.4217']
5264e592-4331-43b3-a2bf-cbd41cd4f419 ( [Label Encoder, Imputer, MLPClassifier] ) : ['F1_MACRO = 0.3818']
